date,nav,scheme_name,amfi_code
03-09-2026,6298.9777,Axis Bluechip,119092
02-09-2026,6296.6127,Axis Bluechip,119092
01-09-2026,6291.4731,Axis Bluechip,119092
31-08-2026,6289.2968,Axis Bluechip,119092
28-08-2026,6285.7238,Axis Bluechip,119092
27-08-2026,6284.7364,Axis Bluechip,119092
25-08-2026,6281.7555,Axis Bluechip,119092
24-08-2026,6278.5151,Axis Bluechip,119092
21-08-2026,6274.6493,Axis Bluechip,119092
20-08-2026,6275.0333,Axis Bluechip,119092
19-08-2026,6277.8033,Axis Bluechip,119092
18-08-2026,6276.6101,Axis Bluechip,119092
17-08-2026,6275.8676,Axis Bluechip,119092
14-08-2026,6273.6615,Axis Bluechip,119092
13-08-2026,6271.9745,Axis Bluechip,119092
12-08-2026,6270.5382,Axis Bluechip,119092
11-08-2026,6269.5651,Axis Bluechip,119092
10-08-2026,6267.995,Axis Bluechip,119092
07-08-2026,6263.5512,Axis Bluechip,119092
06-08-2026,6262.2227,Axis Bluechip,119092
05-08-2026,6260.9088,Axis Bluechip,119092
04-08-2026,6257.8917,Axis Bluechip,119092
03-08-2026,6256.4653,Axis Bluechip,119092
31-07-2026,6251.9433,Axis Bluechip,119092
30-07-2026,6249.5705,Axis Bluechip,119092
29-07-2026,6248.7985,Axis Bluechip,119092
28-07-2026,6248.4821,Axis Bluechip,119092
27-07-2026,6246.9483,Axis Bluechip,119092
24-07-2026,6242.1652,Axis Bluechip,119092
23-07-2026,6240.5818,Axis Bluechip,119092
22-07-2026,6238.7028,Axis Bluechip,119092
21-07-2026,6238.7844,Axis Bluechip,119092
20-07-2026,6235.2804,Axis Bluechip,119092
17-07-2026,6234.115,Axis Bluechip,119092
16-07-2026,6230.8027,Axis Bluechip,119092
15-07-2026,6228.0939,Axis Bluechip,119092
14-07-2026,6227.1416,Axis Bluechip,119092
13-07-2026,6230.5791,Axis Bluechip,119092
10-07-2026,6228.9381,Axis Bluechip,119092
09-07-2026,6227.9863,Axis Bluechip,119092
08-07-2026,6224.3456,Axis Bluechip,119092
07-07-2026,6227.8516,Axis Bluechip,119092
06-07-2026,6231.476,Axis Bluechip,119092
03-07-2026,6229.0236,Axis Bluechip,119092
02-07-2026,6229.4422,Axis Bluechip,119092
01-07-2026,6225.516,Axis Bluechip,119092
30-06-2026,6220.8373,Axis Bluechip,119092
29-06-2026,6217.3124,Axis Bluechip,119092
25-06-2026,6209.1907,Axis Bluechip,119092
24-06-2026,6204.477,Axis Bluechip,119092
23-06-2026,6200.8511,Axis Bluechip,119092
22-06-2026,6199.4871,Axis Bluechip,119092
