scheme_name,return_3yr_pct,sharpe_ratio,std_dev_ann_pct,max_drawdown_pct,expense_ratio_pct,return_score,sharpe_score,volatility_score,drawdown_score,expense_score,recommendation_score,rank
ICICI Pru Liquid Fund - Regular - Growth,7.68,7.68,0.5,-2.62,0.74,0.15,1.0,0.95,0.925,0.825,70.625,1
Kotak Liquid Fund - Regular - Growth,6.18,6.18,0.5,-3.81,0.6,0.1,0.975,0.95,0.875,0.925,68.75,2
HDFC Short Term Debt Fund - Regular - Growth,7.37,1.84,4.0,-6.01,0.56,0.125,0.925,0.875,0.85,0.95,66.625,3
Nippon India Gilt Securities Fund - Regular - Growth,5.31,1.33,4.0,-2.23,0.55,0.05,0.875,0.875,0.975,0.975,65.25000000000001,4
Mirae Asset Large Cap Fund - Regular - Growth,14.81,1.06,14.0,-17.07,1.46,0.6,0.8375,0.6125,0.625,0.42500000000000004,64.8125,5
SBI Magnum Gilt Fund - Regular Plan - Growth,6.07,1.52,4.0,-2.3,0.77,0.075,0.9,0.875,0.95,0.775,64.25,6
ABSL Liquid Fund - Regular - Growth,5.14,5.14,0.5,-3.66,0.79,0.025,0.95,0.95,0.9,0.725,64.25,7
HDFC Top 100 Fund - Regular Plan - Growth,14.84,1.06,14.0,-17.41,1.55,0.625,0.8375,0.6125,0.575,0.19999999999999996,62.56250000000001,8
SBI Small Cap Fund - Regular Plan - Growth,23.39,0.94,25.0,-13.35,1.43,1.0,0.575,0.0625,0.8,0.475,62.37499999999999,9
Nippon India Large Cap Fund - Regular - Growth,14.0,1.0,14.0,-16.07,1.51,0.5,0.775,0.6125,0.675,0.38749999999999996,60.62499999999999,10
Kotak Flexicap Fund - Regular - Growth,15.65,0.98,16.0,-19.5,1.45,0.75,0.725,0.375,0.5,0.44999999999999996,60.12500000000001,11
ICICI Pru Bluechip Fund - Direct - Growth,14.41,1.03,14.0,-26.59,0.8,0.525,0.8,0.6125,0.19999999999999996,0.7,57.99999999999999,12
UTI Flexi Cap Fund - Regular - Growth,15.34,0.96,16.0,-12.14,1.64,0.7,0.65,0.375,0.825,0.012499999999999956,57.25,13
ICICI Pru Midcap Fund - Regular - Growth,18.08,0.95,19.0,-21.84,1.36,0.825,0.6,0.22499999999999998,0.42500000000000004,0.625,56.875,14
SBI Small Cap Fund - Direct Plan - Growth,23.14,0.93,25.0,-24.78,0.72,0.975,0.5375,0.0625,0.25,0.8625,56.3125,15
ABSL Frontline Equity Fund - Regular - Growth,13.78,0.98,14.0,-15.07,1.6,0.475,0.725,0.6125,0.7,0.08750000000000002,56.00000000000001,16
ICICI Pru Value Discovery Fund - Regular - Growth,14.76,0.98,15.0,-21.89,1.41,0.575,0.725,0.42500000000000004,0.4,0.525,55.125,17
Kotak Emerging Equity Fund - Regular - Growth,18.23,0.96,19.0,-21.92,1.56,0.85,0.65,0.22499999999999998,0.375,0.17500000000000004,53.624999999999986,18
HDFC Mid-Cap Opportunities Fund - Regular - Growth,16.58,0.87,19.0,-13.67,1.38,0.775,0.3,0.22499999999999998,0.75,0.575,52.25,19
Axis Small Cap Fund - Regular - Growth,20.98,0.84,25.0,-14.45,1.38,0.925,0.225,0.0625,0.725,0.575,51.25000000000001,20
Nippon India Large Cap Fund - Direct - Growth,12.33,0.88,14.0,-18.14,0.72,0.35,0.3625,0.6125,0.525,0.8625,48.3125,21
ABSL Small Cap Fund - Regular - Growth,22.38,0.9,25.0,-23.61,1.53,0.95,0.4125,0.0625,0.32499999999999996,0.2875,47.8125,22
HDFC Top 100 Fund - Direct Plan - Growth,13.38,0.96,14.0,-33.5,0.92,0.425,0.65,0.6125,0.0,0.65,47.75,23
UTI Mid Cap Fund - Regular - Growth,15.61,0.82,19.0,-13.43,1.51,0.725,0.1875,0.22499999999999998,0.775,0.38749999999999996,46.43750000000001,24
DSP Top 100 Equity Fund - Regular - Growth,12.82,0.92,14.0,-21.7,1.54,0.4,0.5,0.6125,0.4625,0.23750000000000004,46.0625,25
Axis Bluechip Fund - Direct - Growth,12.14,0.87,14.0,-17.4,0.75,0.3,0.3,0.6125,0.6,0.8,45.74999999999999,26
Nippon India ETF Nifty 50 BeES,11.77,0.91,13.0,-26.75,0.89,0.225,0.4625,0.8125,0.17500000000000004,0.675,43.9375,27
UTI Nifty 50 Index Fund - Regular - Growth,12.1,0.93,13.0,-24.42,1.57,0.275,0.5375,0.8125,0.30000000000000004,0.15000000000000002,43.9375,28
DSP Small Cap Fund - Regular - Growth,20.08,0.8,25.0,-17.01,1.52,0.875,0.0625,0.0625,0.65,0.3375,42.18750000000001,29
SBI Bluechip Fund - Regular Plan - Growth,12.36,0.88,14.0,-21.7,1.54,0.375,0.3625,0.6125,0.4625,0.23750000000000004,41.875,30
DSP Midcap Fund - Regular - Growth,17.16,0.9,19.0,-26.99,1.61,0.8,0.4125,0.22499999999999998,0.15000000000000002,0.050000000000000044,41.5625,31
Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.56,0.91,16.0,-33.15,1.52,0.55,0.4625,0.375,0.025000000000000022,0.3375,39.3125,32
Kotak Bluechip Fund - Regular - Growth,12.25,0.87,14.0,-17.86,1.59,0.325,0.3,0.6125,0.55,0.125,39.0,33
Nippon India Small Cap Fund - Regular - Growth,20.15,0.81,25.0,-30.87,1.53,0.9,0.1375,0.0625,0.09999999999999998,0.2875,36.0625,34
HDFC Mid-Cap Opportunities Fund - Direct - Growth,15.29,0.8,19.0,-32.22,0.78,0.675,0.0625,0.22499999999999998,0.07499999999999996,0.75,34.9375,35
SBI Bluechip Fund - Direct Plan - Growth,11.3,0.81,14.0,-24.43,0.66,0.175,0.1375,0.6125,0.275,0.9,34.06250000000001,36
Axis Midcap Fund - Regular - Growth,15.18,0.8,19.0,-32.38,1.38,0.65,0.0625,0.22499999999999998,0.050000000000000044,0.575,32.0625,37
ICICI Pru Bluechip Fund - Regular - Growth,11.54,0.82,14.0,-25.91,1.42,0.2,0.1875,0.6125,0.22499999999999998,0.5,31.3125,38
Axis Bluechip Fund - Regular - Growth,11.84,0.85,14.0,-27.54,1.64,0.25,0.25,0.6125,0.125,0.012499999999999956,27.999999999999996,39
Mirae Asset Tax Saver Fund - Regular - Growth,13.58,0.8,17.0,-22.62,1.6,0.45,0.0625,0.32499999999999996,0.35,0.08750000000000002,27.6875,40
