date,nav,scheme_name,amfi_code
03-09-2026,100.2974,Nippon Large Cap,118632
02-09-2026,100.4299,Nippon Large Cap,118632
01-09-2026,100.8756,Nippon Large Cap,118632
31-08-2026,101.4885,Nippon Large Cap,118632
28-08-2026,101.3819,Nippon Large Cap,118632
27-08-2026,101.1854,Nippon Large Cap,118632
26-08-2026,101.6749,Nippon Large Cap,118632
25-08-2026,101.9656,Nippon Large Cap,118632
24-08-2026,101.5907,Nippon Large Cap,118632
21-08-2026,101.5885,Nippon Large Cap,118632
20-08-2026,101.6201,Nippon Large Cap,118632
19-08-2026,100.9375,Nippon Large Cap,118632
18-08-2026,101.2084,Nippon Large Cap,118632
17-08-2026,101.6405,Nippon Large Cap,118632
14-08-2026,101.9903,Nippon Large Cap,118632
13-08-2026,102.2233,Nippon Large Cap,118632
12-08-2026,102.3415,Nippon Large Cap,118632
11-08-2026,102.7344,Nippon Large Cap,118632
10-08-2026,102.8922,Nippon Large Cap,118632
07-08-2026,102.763,Nippon Large Cap,118632
06-08-2026,102.9777,Nippon Large Cap,118632
05-08-2026,103.0443,Nippon Large Cap,118632
04-08-2026,102.9909,Nippon Large Cap,118632
03-08-2026,103.6631,Nippon Large Cap,118632
31-07-2026,101.8133,Nippon Large Cap,118632
30-07-2026,101.5563,Nippon Large Cap,118632
29-07-2026,101.4265,Nippon Large Cap,118632
28-07-2026,100.2374,Nippon Large Cap,118632
27-07-2026,100.4498,Nippon Large Cap,118632
24-07-2026,99.3273,Nippon Large Cap,118632
23-07-2026,99.7294,Nippon Large Cap,118632
22-07-2026,100.0997,Nippon Large Cap,118632
21-07-2026,101.0669,Nippon Large Cap,118632
20-07-2026,101.3229,Nippon Large Cap,118632
17-07-2026,101.802,Nippon Large Cap,118632
16-07-2026,101.0586,Nippon Large Cap,118632
15-07-2026,101.0231,Nippon Large Cap,118632
14-07-2026,100.5326,Nippon Large Cap,118632
13-07-2026,101.2495,Nippon Large Cap,118632
10-07-2026,101.3203,Nippon Large Cap,118632
09-07-2026,100.3086,Nippon Large Cap,118632
08-07-2026,99.81,Nippon Large Cap,118632
07-07-2026,101.9321,Nippon Large Cap,118632
06-07-2026,102.1267,Nippon Large Cap,118632
03-07-2026,101.3599,Nippon Large Cap,118632
02-07-2026,101.4442,Nippon Large Cap,118632
01-07-2026,100.8965,Nippon Large Cap,118632
30-06-2026,100.4828,Nippon Large Cap,118632
29-06-2026,100.7184,Nippon Large Cap,118632
25-06-2026,101.1917,Nippon Large Cap,118632
24-06-2026,101.0387,Nippon Large Cap,118632
23-06-2026,100.4605,Nippon Large Cap,118632
22-06-2026,101.3654,Nippon Large Cap,118632
19-06-2026,100.7824,Nippon Large Cap,118632
18-06-2026,100.9901,Nippon Large Cap,118632
17-06-2026,100.604,Nippon Large Cap,118632
16-06-2026,100.0048,Nippon Large Cap,118632
15-06-2026,99.3506,Nippon Large Cap,118632
12-06-2026,98.1776,Nippon Large Cap,118632
11-06-2026,96.1712,Nippon Large Cap,118632
10-06-2026,96.5862,Nippon Large Cap,118632
09-06-2026,96.6849,Nippon Large Cap,118632
08-06-2026,95.8952,Nippon Large Cap,118632
05-06-2026,97.2456,Nippon Large Cap,118632
04-06-2026,97.2621,Nippon Large Cap,118632
03-06-2026,97.2167,Nippon Large Cap,118632
02-06-2026,97.4783,Nippon Large Cap,118632
01-06-2026,97.1944,Nippon Large Cap,118632
29-05-2026,98.4656,Nippon Large Cap,118632
27-05-2026,99.8092,Nippon Large Cap,118632
26-05-2026,99.4356,Nippon Large Cap,118632
25-05-2026,99.8047,Nippon Large Cap,118632
22-05-2026,98.7497,Nippon Large Cap,118632
21-05-2026,98.3781,Nippon Large Cap,118632
