date,nav,scheme_name,amfi_code
03-09-2026,107.1,SBI Bluechip,119551
02-09-2026,106.9526,SBI Bluechip,119551
01-09-2026,106.8888,SBI Bluechip,119551
31-08-2026,106.8849,SBI Bluechip,119551
28-08-2026,106.871,SBI Bluechip,119551
27-08-2026,106.9162,SBI Bluechip,119551
25-08-2026,106.9419,SBI Bluechip,119551
24-08-2026,106.9164,SBI Bluechip,119551
21-08-2026,106.8821,SBI Bluechip,119551
20-08-2026,106.9996,SBI Bluechip,119551
19-08-2026,107.1683,SBI Bluechip,119551
18-08-2026,107.136,SBI Bluechip,119551
17-08-2026,107.2402,SBI Bluechip,119551
14-08-2026,107.2744,SBI Bluechip,119551
13-08-2026,107.2564,SBI Bluechip,119551
12-08-2026,107.2026,SBI Bluechip,119551
11-08-2026,107.1766,SBI Bluechip,119551
10-08-2026,107.1958,SBI Bluechip,119551
07-08-2026,107.0971,SBI Bluechip,119551
06-08-2026,107.0834,SBI Bluechip,119551
05-08-2026,107.0167,SBI Bluechip,119551
04-08-2026,106.9327,SBI Bluechip,119551
03-08-2026,106.8983,SBI Bluechip,119551
31-07-2026,106.8377,SBI Bluechip,119551
30-07-2026,106.7842,SBI Bluechip,119551
29-07-2026,106.8357,SBI Bluechip,119551
28-07-2026,106.8611,SBI Bluechip,119551
27-07-2026,106.8126,SBI Bluechip,119551
24-07-2026,106.5961,SBI Bluechip,119551
23-07-2026,106.5851,SBI Bluechip,119551
22-07-2026,106.6107,SBI Bluechip,119551
21-07-2026,106.6567,SBI Bluechip,119551
20-07-2026,106.5737,SBI Bluechip,119551
17-07-2026,106.6001,SBI Bluechip,119551
16-07-2026,106.5829,SBI Bluechip,119551
15-07-2026,106.5116,SBI Bluechip,119551
14-07-2026,106.4609,SBI Bluechip,119551
13-07-2026,106.7026,SBI Bluechip,119551
10-07-2026,106.6946,SBI Bluechip,119551
09-07-2026,106.5776,SBI Bluechip,119551
08-07-2026,106.5587,SBI Bluechip,119551
07-07-2026,106.7977,SBI Bluechip,119551
06-07-2026,106.8431,SBI Bluechip,119551
03-07-2026,106.8042,SBI Bluechip,119551
02-07-2026,106.7721,SBI Bluechip,119551
01-07-2026,106.6451,SBI Bluechip,119551
30-06-2026,106.6225,SBI Bluechip,119551
29-06-2026,106.4648,SBI Bluechip,119551
25-06-2026,106.3057,SBI Bluechip,119551
24-06-2026,106.1268,SBI Bluechip,119551
23-06-2026,106.041,SBI Bluechip,119551
22-06-2026,105.985,SBI Bluechip,119551
19-06-2026,105.9219,SBI Bluechip,119551
18-06-2026,105.9003,SBI Bluechip,119551
17-06-2026,105.8482,SBI Bluechip,119551
16-06-2026,105.8455,SBI Bluechip,119551
15-06-2026,105.8125,SBI Bluechip,119551
12-06-2026,105.6864,SBI Bluechip,119551
11-06-2026,105.5737,SBI Bluechip,119551
10-06-2026,105.6569,SBI Bluechip,119551
09-06-2026,105.5793,SBI Bluechip,119551
08-06-2026,105.3084,SBI Bluechip,119551
05-06-2026,105.107,SBI Bluechip,119551
04-06-2026,104.8095,SBI Bluechip,119551
03-06-2026,104.7496,SBI Bluechip,119551
02-06-2026,104.7663,SBI Bluechip,119551
01-06-2026,104.7025,SBI Bluechip,119551
29-05-2026,104.657,SBI Bluechip,119551
27-05-2026,104.5833,SBI Bluechip,119551
26-05-2026,104.5269,SBI Bluechip,119551
25-05-2026,104.5215,SBI Bluechip,119551
22-05-2026,104.3467,SBI Bluechip,119551
21-05-2026,104.285,SBI Bluechip,119551
20-05-2026,104.3826,SBI Bluechip,119551
19-05-2026,104.4216,SBI Bluechip,119551
18-05-2026,104.3791,SBI Bluechip,119551
15-05-2026,104.5968,SBI Bluechip,119551
14-05-2026,104.7318,SBI Bluechip,119551
13-05-2026,104.7371,SBI Bluechip,119551
12-05-2026,104.7585,SBI Bluechip,119551
11-05-2026,104.8053,SBI Bluechip,119551
08-05-2026,104.8696,SBI Bluechip,119551
07-05-2026,104.8762,SBI Bluechip,119551
06-05-2026,104.8043,SBI Bluechip,119551
05-05-2026,104.6166,SBI Bluechip,119551
04-05-2026,104.6544,SBI Bluechip,119551
30-04-2026,104.5706,SBI Bluechip,119551
29-04-2026,104.6594,SBI Bluechip,119551
28-04-2026,104.7428,SBI Bluechip,119551
27-04-2026,104.7771,SBI Bluechip,119551
24-04-2026,104.7091,SBI Bluechip,119551
23-04-2026,104.7652,SBI Bluechip,119551
22-04-2026,104.8473,SBI Bluechip,119551
21-04-2026,104.847,SBI Bluechip,119551
20-04-2026,104.8369,SBI Bluechip,119551
17-04-2026,104.7821,SBI Bluechip,119551
16-04-2026,104.7959,SBI Bluechip,119551
15-04-2026,104.7901,SBI Bluechip,119551
13-04-2026,104.6113,SBI Bluechip,119551
10-04-2026,104.5956,SBI Bluechip,119551
09-04-2026,104.515,SBI Bluechip,119551
08-04-2026,104.3919,SBI Bluechip,119551
07-04-2026,103.9918,SBI Bluechip,119551
06-04-2026,103.9142,SBI Bluechip,119551
02-04-2026,103.8813,SBI Bluechip,119551
31-03-2026,104.0116,SBI Bluechip,119551
30-03-2026,103.9921,SBI Bluechip,119551
27-03-2026,103.9102,SBI Bluechip,119551
25-03-2026,103.9713,SBI Bluechip,119551
