date,nav,scheme_name,amfi_code
03-09-2026,249.88380,Kotak Bluechip,120841
02-09-2026,248.94760,Kotak Bluechip,120841
01-09-2026,250.66340,Kotak Bluechip,120841
31-08-2026,252.96400,Kotak Bluechip,120841
28-08-2026,252.81800,Kotak Bluechip,120841
27-08-2026,252.87890,Kotak Bluechip,120841
26-08-2026,251.77110,Kotak Bluechip,120841
25-08-2026,252.33970,Kotak Bluechip,120841
24-08-2026,250.70610,Kotak Bluechip,120841
21-08-2026,250.94620,Kotak Bluechip,120841
20-08-2026,250.95330,Kotak Bluechip,120841
19-08-2026,250.71350,Kotak Bluechip,120841
18-08-2026,251.66780,Kotak Bluechip,120841
17-08-2026,253.03730,Kotak Bluechip,120841
14-08-2026,252.26880,Kotak Bluechip,120841
13-08-2026,252.73770,Kotak Bluechip,120841
12-08-2026,252.70060,Kotak Bluechip,120841
11-08-2026,253.54190,Kotak Bluechip,120841
10-08-2026,254.57980,Kotak Bluechip,120841
07-08-2026,255.99320,Kotak Bluechip,120841
06-08-2026,254.25010,Kotak Bluechip,120841
05-08-2026,256.12070,Kotak Bluechip,120841
04-08-2026,254.50240,Kotak Bluechip,120841
03-08-2026,254.19650,Kotak Bluechip,120841
31-07-2026,252.20890,Kotak Bluechip,120841
30-07-2026,251.60490,Kotak Bluechip,120841
29-07-2026,253.43890,Kotak Bluechip,120841
28-07-2026,250.15270,Kotak Bluechip,120841
27-07-2026,251.26990,Kotak Bluechip,120841
24-07-2026,249.27150,Kotak Bluechip,120841
23-07-2026,248.75760,Kotak Bluechip,120841
22-07-2026,250.03750,Kotak Bluechip,120841
21-07-2026,255.40540,Kotak Bluechip,120841
20-07-2026,255.15960,Kotak Bluechip,120841
17-07-2026,254.19990,Kotak Bluechip,120841
16-07-2026,254.06990,Kotak Bluechip,120841
15-07-2026,253.68380,Kotak Bluechip,120841
14-07-2026,252.64880,Kotak Bluechip,120841
13-07-2026,253.79200,Kotak Bluechip,120841
10-07-2026,252.75360,Kotak Bluechip,120841
09-07-2026,250.21460,Kotak Bluechip,120841
08-07-2026,246.67100,Kotak Bluechip,120841
07-07-2026,250.00290,Kotak Bluechip,120841
06-07-2026,250.93770,Kotak Bluechip,120841
03-07-2026,251.33420,Kotak Bluechip,120841
02-07-2026,251.50080,Kotak Bluechip,120841
01-07-2026,250.44840,Kotak Bluechip,120841
30-06-2026,250.95400,Kotak Bluechip,120841
29-06-2026,250.64940,Kotak Bluechip,120841
25-06-2026,249.31200,Kotak Bluechip,120841
24-06-2026,249.84120,Kotak Bluechip,120841
23-06-2026,249.98140,Kotak Bluechip,120841
22-06-2026,252.06940,Kotak Bluechip,120841
19-06-2026,251.57130,Kotak Bluechip,120841
18-06-2026,249.15530,Kotak Bluechip,120841
17-06-2026,246.39250,Kotak Bluechip,120841
16-06-2026,245.24020,Kotak Bluechip,120841
15-06-2026,244.62900,Kotak Bluechip,120841
12-06-2026,244.72050,Kotak Bluechip,120841
11-06-2026,240.58860,Kotak Bluechip,120841
10-06-2026,241.91860,Kotak Bluechip,120841
09-06-2026,244.23470,Kotak Bluechip,120841
08-06-2026,242.15940,Kotak Bluechip,120841
05-06-2026,246.08780,Kotak Bluechip,120841
04-06-2026,246.07840,Kotak Bluechip,120841
03-06-2026,245.65930,Kotak Bluechip,120841
02-06-2026,246.85660,Kotak Bluechip,120841
01-06-2026,246.98140,Kotak Bluechip,120841
29-05-2026,248.66730,Kotak Bluechip,120841
27-05-2026,251.22730,Kotak Bluechip,120841
26-05-2026,251.27020,Kotak Bluechip,120841
25-05-2026,249.22660,Kotak Bluechip,120841
22-05-2026,247.80390,Kotak Bluechip,120841
21-05-2026,248.88530,Kotak Bluechip,120841
20-05-2026,244.71990,Kotak Bluechip,120841
19-05-2026,241.67710,Kotak Bluechip,120841
18-05-2026,241.26150,Kotak Bluechip,120841
15-05-2026,242.09520,Kotak Bluechip,120841
14-05-2026,243.53140,Kotak Bluechip,120841
13-05-2026,240.07460,Kotak Bluechip,120841
12-05-2026,238.15280,Kotak Bluechip,120841
11-05-2026,242.72190,Kotak Bluechip,120841
08-05-2026,244.62010,Kotak Bluechip,120841
07-05-2026,245.60550,Kotak Bluechip,120841
06-05-2026,245.38780,Kotak Bluechip,120841
05-05-2026,242.95940,Kotak Bluechip,120841
04-05-2026,242.76550,Kotak Bluechip,120841
30-04-2026,240.53530,Kotak Bluechip,120841
29-04-2026,242.34500,Kotak Bluechip,120841
28-04-2026,242.62410,Kotak Bluechip,120841
27-04-2026,241.25170,Kotak Bluechip,120841
24-04-2026,238.14560,Kotak Bluechip,120841
23-04-2026,239.75830,Kotak Bluechip,120841
22-04-2026,238.57020,Kotak Bluechip,120841
21-04-2026,236.45980,Kotak Bluechip,120841
20-04-2026,235.19610,Kotak Bluechip,120841
17-04-2026,236.21330,Kotak Bluechip,120841
16-04-2026,233.31800,Kotak Bluechip,120841
15-04-2026,231.54340,Kotak Bluechip,120841
13-04-2026,226.98090,Kotak Bluechip,120841
10-04-2026,228.69930,Kotak Bluechip,120841
09-04-2026,224.62350,Kotak Bluechip,120841
08-04-2026,224.59090,Kotak Bluechip,120841
07-04-2026,217.96040,Kotak Bluechip,120841
06-04-2026,217.64130,Kotak Bluechip,120841
02-04-2026,216.27950,Kotak Bluechip,120841
01-04-2026,216.76270,Kotak Bluechip,120841
31-03-2026,212.35710,Kotak Bluechip,120841
30-03-2026,212.35610,Kotak Bluechip,120841
27-03-2026,215.97900,Kotak Bluechip,120841
25-03-2026,218.68660,Kotak Bluechip,120841
24-03-2026,214.91640,Kotak Bluechip,120841
23-03-2026,210.11500,Kotak Bluechip,120841
20-03-2026,215.88190,Kotak Bluechip,120841
19-03-2026,214.08990,Kotak Bluechip,120841
18-03-2026,219.40770,Kotak Bluechip,120841
17-03-2026,215.87230,Kotak Bluechip,120841
16-03-2026,213.40910,Kotak Bluechip,120841
13-03-2026,212.78840,Kotak Bluechip,120841
12-03-2026,216.83130,Kotak Bluechip,120841
11-03-2026,217.26380,Kotak Bluechip,120841
10-03-2026,217.21510,Kotak Bluechip,120841
09-03-2026,213.72110,Kotak Bluechip,120841
06-03-2026,215.12440,Kotak Bluechip,120841
05-03-2026,216.04330,Kotak Bluechip,120841
04-03-2026,213.86320,Kotak Bluechip,120841
02-03-2026,217.44490,Kotak Bluechip,120841
27-02-2026,221.21080,Kotak Bluechip,120841
26-02-2026,223.82800,Kotak Bluechip,120841
25-02-2026,222.64820,Kotak Bluechip,120841
24-02-2026,220.56050,Kotak Bluechip,120841
23-02-2026,221.70510,Kotak Bluechip,120841
20-02-2026,221.34080,Kotak Bluechip,120841
19-02-2026,220.41320,Kotak Bluechip,120841
18-02-2026,223.26080,Kotak Bluechip,120841
17-02-2026,222.97730,Kotak Bluechip,120841
16-02-2026,222.49540,Kotak Bluechip,120841
13-02-2026,222.57480,Kotak Bluechip,120841
12-02-2026,225.42450,Kotak Bluechip,120841
11-02-2026,225.69290,Kotak Bluechip,120841
10-02-2026,225.19960,Kotak Bluechip,120841
09-02-2026,224.51980,Kotak Bluechip,120841
06-02-2026,221.73980,Kotak Bluechip,120841
05-02-2026,220.82750,Kotak Bluechip,120841
04-02-2026,220.85430,Kotak Bluechip,120841
03-02-2026,220.15360,Kotak Bluechip,120841
02-02-2026,215.36870,Kotak Bluechip,120841
30-01-2026,217.36270,Kotak Bluechip,120841
29-01-2026,215.82060,Kotak Bluechip,120841
28-01-2026,216.54810,Kotak Bluechip,120841
27-01-2026,214.53240,Kotak Bluechip,120841
23-01-2026,214.91300,Kotak Bluechip,120841
22-01-2026,218.23780,Kotak Bluechip,120841
21-01-2026,216.46310,Kotak Bluechip,120841
20-01-2026,220.30030,Kotak Bluechip,120841
19-01-2026,224.66870,Kotak Bluechip,120841
16-01-2026,224.95280,Kotak Bluechip,120841
14-01-2026,225.39530,Kotak Bluechip,120841
13-01-2026,225.48150,Kotak Bluechip,120841
12-01-2026,226.25870,Kotak Bluechip,120841
09-01-2026,227.02650,Kotak Bluechip,120841
08-01-2026,229.22630,Kotak Bluechip,120841
07-01-2026,233.31320,Kotak Bluechip,120841
06-01-2026,233.04090,Kotak Bluechip,120841
05-01-2026,234.50690,Kotak Bluechip,120841
02-01-2026,236.41320,Kotak Bluechip,120841
01-01-2026,235.25900,Kotak Bluechip,120841
31-12-2025,235.50630,Kotak Bluechip,120841
30-12-2025,234.37540,Kotak Bluechip,120841
29-12-2025,235.98540,Kotak Bluechip,120841
26-12-2025,236.98480,Kotak Bluechip,120841
24-12-2025,237.65300,Kotak Bluechip,120841
23-12-2025,238.76290,Kotak Bluechip,120841
22-12-2025,238.04470,Kotak Bluechip,120841
19-12-2025,236.96310,Kotak Bluechip,120841
18-12-2025,234.70450,Kotak Bluechip,120841
17-12-2025,234.31330,Kotak Bluechip,120841
16-12-2025,235.70840,Kotak Bluechip,120841
15-12-2025,238.37730,Kotak Bluechip,120841
12-12-2025,238.11250,Kotak Bluechip,120841
11-12-2025,236.16150,Kotak Bluechip,120841
10-12-2025,234.27460,Kotak Bluechip,120841
09-12-2025,234.72470,Kotak Bluechip,120841
08-12-2025,234.30840,Kotak Bluechip,120841
05-12-2025,238.01100,Kotak Bluechip,120841
04-12-2025,238.01410,Kotak Bluechip,120841
03-12-2025,238.60280,Kotak Bluechip,120841
02-12-2025,239.28740,Kotak Bluechip,120841
01-12-2025,240.11950,Kotak Bluechip,120841
28-11-2025,240.04280,Kotak Bluechip,120841
27-11-2025,240.95650,Kotak Bluechip,120841
26-11-2025,240.60920,Kotak Bluechip,120841
25-11-2025,237.44390,Kotak Bluechip,120841
24-11-2025,238.08580,Kotak Bluechip,120841
21-11-2025,240.21400,Kotak Bluechip,120841
20-11-2025,242.10440,Kotak Bluechip,120841
19-11-2025,241.85870,Kotak Bluechip,120841
18-11-2025,241.34640,Kotak Bluechip,120841
17-11-2025,242.36250,Kotak Bluechip,120841
14-11-2025,240.14220,Kotak Bluechip,120841
13-11-2025,240.68510,Kotak Bluechip,120841
12-11-2025,240.83330,Kotak Bluechip,120841
11-11-2025,239.26950,Kotak Bluechip,120841
10-11-2025,239.01480,Kotak Bluechip,120841
07-11-2025,238.53950,Kotak Bluechip,120841
06-11-2025,238.33670,Kotak Bluechip,120841
04-11-2025,241.39910,Kotak Bluechip,120841
03-11-2025,242.43600,Kotak Bluechip,120841
31-10-2025,241.24100,Kotak Bluechip,120841
30-10-2025,241.59120,Kotak Bluechip,120841
29-10-2025,242.12690,Kotak Bluechip,120841
28-10-2025,240.59060,Kotak Bluechip,120841
27-10-2025,241.11160,Kotak Bluechip,120841
24-10-2025,238.55860,Kotak Bluechip,120841
23-10-2025,238.17410,Kotak Bluechip,120841
20-10-2025,238.56580,Kotak Bluechip,120841
17-10-2025,237.95850,Kotak Bluechip,120841
16-10-2025,239.73860,Kotak Bluechip,120841
