date,nav,scheme_name,amfi_code
03-09-2026,100.29740,Nippon Large Cap,118632
02-09-2026,100.42990,Nippon Large Cap,118632
01-09-2026,100.87560,Nippon Large Cap,118632
31-08-2026,101.48850,Nippon Large Cap,118632
28-08-2026,101.38190,Nippon Large Cap,118632
27-08-2026,101.18540,Nippon Large Cap,118632
26-08-2026,101.67490,Nippon Large Cap,118632
25-08-2026,101.96560,Nippon Large Cap,118632
24-08-2026,101.59070,Nippon Large Cap,118632
21-08-2026,101.58850,Nippon Large Cap,118632
20-08-2026,101.62010,Nippon Large Cap,118632
19-08-2026,100.93750,Nippon Large Cap,118632
18-08-2026,101.20840,Nippon Large Cap,118632
17-08-2026,101.64050,Nippon Large Cap,118632
14-08-2026,101.99030,Nippon Large Cap,118632
13-08-2026,102.22330,Nippon Large Cap,118632
12-08-2026,102.34150,Nippon Large Cap,118632
11-08-2026,102.73440,Nippon Large Cap,118632
10-08-2026,102.89220,Nippon Large Cap,118632
07-08-2026,102.76300,Nippon Large Cap,118632
06-08-2026,102.97770,Nippon Large Cap,118632
05-08-2026,103.04430,Nippon Large Cap,118632
04-08-2026,102.99090,Nippon Large Cap,118632
03-08-2026,103.66310,Nippon Large Cap,118632
31-07-2026,101.81330,Nippon Large Cap,118632
30-07-2026,101.55630,Nippon Large Cap,118632
29-07-2026,101.42650,Nippon Large Cap,118632
28-07-2026,100.23740,Nippon Large Cap,118632
27-07-2026,100.44980,Nippon Large Cap,118632
24-07-2026,99.32730,Nippon Large Cap,118632
23-07-2026,99.72940,Nippon Large Cap,118632
22-07-2026,100.09970,Nippon Large Cap,118632
21-07-2026,101.06690,Nippon Large Cap,118632
20-07-2026,101.32290,Nippon Large Cap,118632
17-07-2026,101.80200,Nippon Large Cap,118632
16-07-2026,101.05860,Nippon Large Cap,118632
15-07-2026,101.02310,Nippon Large Cap,118632
14-07-2026,100.53260,Nippon Large Cap,118632
13-07-2026,101.24950,Nippon Large Cap,118632
10-07-2026,101.32030,Nippon Large Cap,118632
09-07-2026,100.30860,Nippon Large Cap,118632
08-07-2026,99.81000,Nippon Large Cap,118632
07-07-2026,101.93210,Nippon Large Cap,118632
06-07-2026,102.12670,Nippon Large Cap,118632
03-07-2026,101.35990,Nippon Large Cap,118632
02-07-2026,101.44420,Nippon Large Cap,118632
01-07-2026,100.89650,Nippon Large Cap,118632
30-06-2026,100.48280,Nippon Large Cap,118632
29-06-2026,100.71840,Nippon Large Cap,118632
25-06-2026,101.19170,Nippon Large Cap,118632
24-06-2026,101.03870,Nippon Large Cap,118632
23-06-2026,100.46050,Nippon Large Cap,118632
22-06-2026,101.36540,Nippon Large Cap,118632
19-06-2026,100.78240,Nippon Large Cap,118632
