date,nav,scheme_name,amfi_code
03-09-2026,107.10000,SBI Bluechip,119551
02-09-2026,106.95260,SBI Bluechip,119551
01-09-2026,106.88880,SBI Bluechip,119551
31-08-2026,106.88490,SBI Bluechip,119551
28-08-2026,106.87100,SBI Bluechip,119551
27-08-2026,106.91620,SBI Bluechip,119551
25-08-2026,106.94190,SBI Bluechip,119551
24-08-2026,106.91640,SBI Bluechip,119551
21-08-2026,106.88210,SBI Bluechip,119551
20-08-2026,106.99960,SBI Bluechip,119551
19-08-2026,107.16830,SBI Bluechip,119551
18-08-2026,107.13600,SBI Bluechip,119551
17-08-2026,107.24020,SBI Bluechip,119551
14-08-2026,107.27440,SBI Bluechip,119551
13-08-2026,107.25640,SBI Bluechip,119551
12-08-2026,107.20260,SBI Bluechip,119551
11-08-2026,107.17660,SBI Bluechip,119551
10-08-2026,107.19580,SBI Bluechip,119551
07-08-2026,107.09710,SBI Bluechip,119551
06-08-2026,107.08340,SBI Bluechip,119551
05-08-2026,107.01670,SBI Bluechip,119551
04-08-2026,106.93270,SBI Bluechip,119551
03-08-2026,106.89830,SBI Bluechip,119551
31-07-2026,106.83770,SBI Bluechip,119551
30-07-2026,106.78420,SBI Bluechip,119551
29-07-2026,106.83570,SBI Bluechip,119551
28-07-2026,106.86110,SBI Bluechip,119551
27-07-2026,106.81260,SBI Bluechip,119551
24-07-2026,106.59610,SBI Bluechip,119551
23-07-2026,106.58510,SBI Bluechip,119551
22-07-2026,106.61070,SBI Bluechip,119551
21-07-2026,106.65670,SBI Bluechip,119551
20-07-2026,106.57370,SBI Bluechip,119551
17-07-2026,106.60010,SBI Bluechip,119551
16-07-2026,106.58290,SBI Bluechip,119551
15-07-2026,106.51160,SBI Bluechip,119551
14-07-2026,106.46090,SBI Bluechip,119551
13-07-2026,106.70260,SBI Bluechip,119551
10-07-2026,106.69460,SBI Bluechip,119551
09-07-2026,106.57760,SBI Bluechip,119551
08-07-2026,106.55870,SBI Bluechip,119551
07-07-2026,106.79770,SBI Bluechip,119551
06-07-2026,106.84310,SBI Bluechip,119551
03-07-2026,106.80420,SBI Bluechip,119551
02-07-2026,106.77210,SBI Bluechip,119551
01-07-2026,106.64510,SBI Bluechip,119551
30-06-2026,106.62250,SBI Bluechip,119551
29-06-2026,106.46480,SBI Bluechip,119551
25-06-2026,106.30570,SBI Bluechip,119551
24-06-2026,106.12680,SBI Bluechip,119551
23-06-2026,106.04100,SBI Bluechip,119551
22-06-2026,105.98500,SBI Bluechip,119551
19-06-2026,105.92190,SBI Bluechip,119551
18-06-2026,105.90030,SBI Bluechip,119551
17-06-2026,105.84820,SBI Bluechip,119551
16-06-2026,105.84550,SBI Bluechip,119551
15-06-2026,105.81250,SBI Bluechip,119551
12-06-2026,105.68640,SBI Bluechip,119551
11-06-2026,105.57370,SBI Bluechip,119551
10-06-2026,105.65690,SBI Bluechip,119551
09-06-2026,105.57930,SBI Bluechip,119551
08-06-2026,105.30840,SBI Bluechip,119551
05-06-2026,105.10700,SBI Bluechip,119551
04-06-2026,104.80950,SBI Bluechip,119551
03-06-2026,104.74960,SBI Bluechip,119551
02-06-2026,104.76630,SBI Bluechip,119551
01-06-2026,104.70250,SBI Bluechip,119551
29-05-2026,104.65700,SBI Bluechip,119551
27-05-2026,104.58330,SBI Bluechip,119551
26-05-2026,104.52690,SBI Bluechip,119551
25-05-2026,104.52150,SBI Bluechip,119551
22-05-2026,104.34670,SBI Bluechip,119551
21-05-2026,104.28500,SBI Bluechip,119551
20-05-2026,104.38260,SBI Bluechip,119551
19-05-2026,104.42160,SBI Bluechip,119551
18-05-2026,104.37910,SBI Bluechip,119551
15-05-2026,104.59680,SBI Bluechip,119551
14-05-2026,104.73180,SBI Bluechip,119551
13-05-2026,104.73710,SBI Bluechip,119551
12-05-2026,104.75850,SBI Bluechip,119551
11-05-2026,104.80530,SBI Bluechip,119551
08-05-2026,104.86960,SBI Bluechip,119551
07-05-2026,104.87620,SBI Bluechip,119551
06-05-2026,104.80430,SBI Bluechip,119551
05-05-2026,104.61660,SBI Bluechip,119551
04-05-2026,104.65440,SBI Bluechip,119551
30-04-2026,104.57060,SBI Bluechip,119551
29-04-2026,104.65940,SBI Bluechip,119551
28-04-2026,104.74280,SBI Bluechip,119551
27-04-2026,104.77710,SBI Bluechip,119551
24-04-2026,104.70910,SBI Bluechip,119551
23-04-2026,104.76520,SBI Bluechip,119551
22-04-2026,104.84730,SBI Bluechip,119551
21-04-2026,104.84700,SBI Bluechip,119551
20-04-2026,104.83690,SBI Bluechip,119551
17-04-2026,104.78210,SBI Bluechip,119551
16-04-2026,104.79590,SBI Bluechip,119551
15-04-2026,104.79010,SBI Bluechip,119551
13-04-2026,104.61130,SBI Bluechip,119551
10-04-2026,104.59560,SBI Bluechip,119551
09-04-2026,104.51500,SBI Bluechip,119551
08-04-2026,104.39190,SBI Bluechip,119551
07-04-2026,103.99180,SBI Bluechip,119551
06-04-2026,103.91420,SBI Bluechip,119551
02-04-2026,103.88130,SBI Bluechip,119551
31-03-2026,104.01160,SBI Bluechip,119551
30-03-2026,103.99210,SBI Bluechip,119551
27-03-2026,103.91020,SBI Bluechip,119551
25-03-2026,103.97130,SBI Bluechip,119551
24-03-2026,103.98160,SBI Bluechip,119551
23-03-2026,110.66250,SBI Bluechip,119551
20-03-2026,110.93520,SBI Bluechip,119551
18-03-2026,110.99850,SBI Bluechip,119551
17-03-2026,110.93160,SBI Bluechip,119551
16-03-2026,110.91590,SBI Bluechip,119551
13-03-2026,110.92870,SBI Bluechip,119551
12-03-2026,110.98980,SBI Bluechip,119551
11-03-2026,111.10720,SBI Bluechip,119551
10-03-2026,111.04840,SBI Bluechip,119551
09-03-2026,110.91930,SBI Bluechip,119551
06-03-2026,111.03950,SBI Bluechip,119551
05-03-2026,111.05340,SBI Bluechip,119551
04-03-2026,110.94990,SBI Bluechip,119551
02-03-2026,111.06530,SBI Bluechip,119551
27-02-2026,111.02610,SBI Bluechip,119551
26-02-2026,111.00690,SBI Bluechip,119551
25-02-2026,110.98260,SBI Bluechip,119551
24-02-2026,110.93940,SBI Bluechip,119551
23-02-2026,110.88290,SBI Bluechip,119551
20-02-2026,110.80700,SBI Bluechip,119551
18-02-2026,110.86130,SBI Bluechip,119551
17-02-2026,110.86820,SBI Bluechip,119551
16-02-2026,110.84090,SBI Bluechip,119551
13-02-2026,110.75840,SBI Bluechip,119551
12-02-2026,110.63090,SBI Bluechip,119551
11-02-2026,110.50560,SBI Bluechip,119551
10-02-2026,110.42930,SBI Bluechip,119551
09-02-2026,110.42330,SBI Bluechip,119551
06-02-2026,110.41730,SBI Bluechip,119551
05-02-2026,110.59850,SBI Bluechip,119551
04-02-2026,110.44770,SBI Bluechip,119551
03-02-2026,110.29600,SBI Bluechip,119551
02-02-2026,110.15370,SBI Bluechip,119551
30-01-2026,110.19030,SBI Bluechip,119551
29-01-2026,110.09220,SBI Bluechip,119551
28-01-2026,110.08550,SBI Bluechip,119551
27-01-2026,110.10780,SBI Bluechip,119551
23-01-2026,110.07660,SBI Bluechip,119551
22-01-2026,110.05390,SBI Bluechip,119551
21-01-2026,109.94380,SBI Bluechip,119551
20-01-2026,109.93850,SBI Bluechip,119551
19-01-2026,109.97420,SBI Bluechip,119551
16-01-2026,110.01070,SBI Bluechip,119551
14-01-2026,110.12860,SBI Bluechip,119551
13-01-2026,110.18780,SBI Bluechip,119551
12-01-2026,110.29740,SBI Bluechip,119551
09-01-2026,110.23270,SBI Bluechip,119551
08-01-2026,110.22180,SBI Bluechip,119551
07-01-2026,110.21750,SBI Bluechip,119551
06-01-2026,110.26470,SBI Bluechip,119551
05-01-2026,110.24980,SBI Bluechip,119551
02-01-2026,110.33330,SBI Bluechip,119551
01-01-2026,110.34930,SBI Bluechip,119551
31-12-2025,110.32120,SBI Bluechip,119551
30-12-2025,110.21760,SBI Bluechip,119551
29-12-2025,110.27990,SBI Bluechip,119551
26-12-2025,110.22470,SBI Bluechip,119551
24-12-2025,110.20790,SBI Bluechip,119551
23-12-2025,109.99540,SBI Bluechip,119551
22-12-2025,110.02410,SBI Bluechip,119551
19-12-2025,110.04030,SBI Bluechip,119551
18-12-2025,110.01950,SBI Bluechip,119551
17-12-2025,110.02660,SBI Bluechip,119551
16-12-2025,110.02610,SBI Bluechip,119551
15-12-2025,109.99440,SBI Bluechip,119551
12-12-2025,110.06520,SBI Bluechip,119551
11-12-2025,110.06090,SBI Bluechip,119551
10-12-2025,110.04660,SBI Bluechip,119551
09-12-2025,110.18520,SBI Bluechip,119551
08-12-2025,110.32990,SBI Bluechip,119551
05-12-2025,110.33730,SBI Bluechip,119551
04-12-2025,110.23500,SBI Bluechip,119551
03-12-2025,110.23620,SBI Bluechip,119551
02-12-2025,110.23490,SBI Bluechip,119551
01-12-2025,110.21100,SBI Bluechip,119551
28-11-2025,110.26150,SBI Bluechip,119551
27-11-2025,110.27430,SBI Bluechip,119551
26-11-2025,110.26580,SBI Bluechip,119551
25-11-2025,110.19240,SBI Bluechip,119551
24-11-2025,110.13220,SBI Bluechip,119551
21-11-2025,110.07080,SBI Bluechip,119551
20-11-2025,110.08820,SBI Bluechip,119551
19-11-2025,110.07710,SBI Bluechip,119551
18-11-2025,110.02050,SBI Bluechip,119551
17-11-2025,109.97560,SBI Bluechip,119551
14-11-2025,109.97250,SBI Bluechip,119551
13-11-2025,109.99070,SBI Bluechip,119551
12-11-2025,109.99470,SBI Bluechip,119551
11-11-2025,109.96100,SBI Bluechip,119551
10-11-2025,109.92500,SBI Bluechip,119551
07-11-2025,109.86090,SBI Bluechip,119551
06-11-2025,109.83370,SBI Bluechip,119551
04-11-2025,109.79410,SBI Bluechip,119551
03-11-2025,109.75480,SBI Bluechip,119551
31-10-2025,109.67680,SBI Bluechip,119551
